RecordId,Name,PhdEntityType,TagNo,Active,Description,ParentTag,ClassTag,TagUnits,Tolerance,ToleranceType,Collection,DemandCalculation,ManualInput,PutDownload,DataStore,RangeChkDisable,DataEdit,ArchiveResample,EPKSExceptionTag,FileStream,SourceTag,SourceTagUnits,ScanFrequency,SourceDeadband,HighExtreme,LowExtreme,Quantum,HighHighLimit,HighLimit,LowLimit,LowLowLimit,HighHighEnable,HighEnable,LowEnable,LowLowEnable,SmoothingConstant,CompressionToleranceFactor,MinimumCompressionTolerance,GrossErrorSigmaLimit,GrossErrorSamples,NoiseGateLevel,PercentRecordFill,SpecQueueSize,ExtrapolationDamping,ResampleMethod,SourceTagIndexA,SourceTagIndexB,SourceTagIndexC,SourceTagIndexD,InterpolationMethod,UserDefined1,UserDefined2,ScanTimeStampUnit,TimeStamp,ExtendedSourceTag,Asset,Item,Function,RuleName,SynchronizationEnable,DigitalEnumEnable,DigitalEnumeration,MachineName,CollectorName,SourceSystem,SourceTagType,SourceTagAttribute,SourceName,CompressionSetting,VirtualTagCalculation
233,7570TI075.DACA.PV,T,233,TRUE,Varme kappe 4-ventil,EXP_PARENT,FALSE,,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TI075.DACA.PV,75-70,/Assets/T-plant/75-70/7570TI075,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TI075.DACA.PV,-1,
234,7570TI076.DACA.PV,T,234,TRUE,Kapperør utløp 7542NPU001 4,EXP_PARENT,FALSE,,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TI076.DACA.PV,75-70,/Assets/T-plant/75-70/7570TI076,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TI076.DACA.PV,-1,
235,7570TI077.DACA.PV,T,235,TRUE,Kapperør manifold DN200 syd,EXP_PARENT,FALSE,,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TI077.DACA.PV,75-70,/Assets/T-plant/75-70/7570TI077,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TI077.DACA.PV,-1,
236,7570TI078.DACA.PV,T,236,TRUE,Retur primær veksler,EXP_PARENT,FALSE,,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TI078.DACA.PV,75-70,/Assets/T-plant/75-70/7570TI078,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TI078.DACA.PV,-1,
237,7570TI079.DACA.PV,T,237,TRUE,Tur primær veksler,EXP_PARENT,FALSE,,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TI079.DACA.PV,75-70,/Assets/T-plant/75-70/7570TI079,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TI079.DACA.PV,-1,
238,7570TIC029.PIDA.OP,T,238,TRUE,Temp reg varming glykol,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC029.PIDA.OP,75-70,/Assets/T-plant/75-70/7570TIC029,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC029.PIDA.OP,-1,
239,7570TIC029.PIDA.SP,T,239,TRUE,Temp reg varming glykol,EXP_PARENT,FALSE,°C,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,150,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC029.PIDA.SP,75-70,/Assets/T-plant/75-70/7570TIC029,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC029.PIDA.SP,-1,
240,7570TIC029.DACA.PV,T,240,TRUE,Temp reg varming glykol,EXP_PARENT,FALSE,°C,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,150,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC029.DACA.PV,75-70,/Assets/T-plant/75-70/7570TIC029,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC029.DACA.PV,-1,
241,7570TIC037.PIDA.OP,T,241,TRUE,Temperatur varmtvann jp fra S-anlegg,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC037.PIDA.OP,75-70,/Assets/T-plant/75-70/7570TIC037,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC037.PIDA.OP,-1,
242,7570TIC037.PIDA.SP,T,242,TRUE,Temperatur varmtvann jp fra S-anlegg,EXP_PARENT,FALSE,°C,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC037.PIDA.SP,75-70,/Assets/T-plant/75-70/7570TIC037,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC037.PIDA.SP,-1,
