Time,Name,Value,Unit,Quality
"07.08.2025 11.30.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LT423_MEAS,"279,75",,Good: Interpolated
"07.08.2025 12.53.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_41LT338_CALC_RO01,"15,20",,Good: Interpolated
"07.08.2025 14.43.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_32LI443_MEAS,"261,96",,Good: Interpolated
"07.08.2025 15.39.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R26_9232LI046,"1,41",,Good: Interpolated
"07.08.2025 16.04.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_40LT385_CHAR_OUT,"0,00",,Bad
"07.08.2025 16.51.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT353_MEAS,"42,39",,Good: Interpolated
"07.08.2025 17.41.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LT395_MEAS,"257,47",,Good: Interpolated
"07.08.2025 17.50.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_32LI441_MEAS,"32,62",,Good: Interpolated
"07.08.2025 18.26.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_L18_9237LI032,"14,28",m3,Good: Interpolated
"07.08.2025 18.33.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER3_AIN_4038LI001_MEAS,"44,97",,Good: Interpolated
"07.08.2025 18.37.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_41LI439_MEAS,"-0,07",,Good: Interpolated
"07.08.2025 18.51.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R24_9232LI044,"3,11",,Good: Interpolated
"08.08.2025 00.42.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_L19_9237LI034,"33,70",m3,Good: Interpolated
"08.08.2025 00.43.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_32LI443_MEAS,"262,00",,Good: Interpolated
"08.08.2025 04.06.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R25_9232LI045,"1,19",,Good: Interpolated
"08.08.2025 05.25.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_avfallsvaesker.TANKER2_AIN_34LT379_MEAS,"0,00",,Good: Interpolated
"08.08.2025 07.33.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_41LT335_CHAR_OUT,"12,56",,Good: Interpolated
"08.08.2025 08.47.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_32LI444_MEAS,"46,11",m3,Good: Interpolated
"08.08.2025 10.06.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R24_9232LI044,"3,11",,Good: Interpolated
"08.08.2025 10.21.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_41LI438_MEAS,"85,49",,Good: Interpolated
"08.08.2025 11.41.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT333_MEAS,"16,10",,Good: Interpolated
"08.08.2025 14.30.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LI437_MEAS,"-0,59",,Good: Interpolated
"08.08.2025 14.42.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R25_9232LI045,"1,19",,Good: Interpolated
"08.08.2025 22.17.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_41LI439_MEAS,"-0,06",,Good: Interpolated
"08.08.2025 22.35.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LT395_MEAS,"222,81",,Good: Interpolated
"09.08.2025 01.35.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_40LT386_CHAR_OUT,"9,71",,Good: Interpolated
"09.08.2025 09.15.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER3_AIN_4038LI002_MEAS,"27,87",,Good: Interpolated
"09.08.2025 12.31.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R22_9232LI042,"0,00",,Good: Interpolated
"09.08.2025 12.36.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_40LI440_MEAS,"291,65",,Good: Interpolated
"09.08.2025 14.09.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT329_MEAS,"50,57",,Good: Interpolated
"09.08.2025 14.38.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER3_AIN_4038LI001_MEAS,"44,91",,Good: Interpolated
"09.08.2025 15.05.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_41LT335_CHAR_OUT,"12,57",,Good: Interpolated
"09.08.2025 15.29.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER3_AIN_38LI579_MEAS,"64,24",,Good: Interpolated
"09.08.2025 17.07.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_L14_9237LI038,"18,43",m3,Good: Interpolated
"09.08.2025 17.52.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER3_AIN_4038LI002_MEAS,"27,87",,Good: Interpolated
"09.08.2025 20.47.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_40LT385_CHAR_OUT,"0,00",,Bad
"09.08.2025 22.39.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_32LI442_MEAS,"414,52",m3,Good: Interpolated
"10.08.2025 00.13.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_41LI434_MEAS,"13,04",,Good: Interpolated
"10.08.2025 00.15.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT351_MEAS,"49,49",,Good: Interpolated
"10.08.2025 00.43.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER3_AIN_4038LI003_MEAS,"40,84",,Good: Interpolated
"10.08.2025 01.21.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R21_9232LI041,"0,00",,Good: Interpolated
